pair	relation	equivalences_used	matched_signature	distance_eligible_words	source_chapter	source_verse	source_position	source_hebrew	source_word	source_signature	target_chapter	target_verse	target_position	target_hebrew	target_word	target_signature	exact_word
P0001	EXACT		ˈer	8	11	10	3	אֲשֶׁ֨ר	ashér	ˈer	11	10	12	אֲשֶׁ֥ר	ashér	ˈer	True
P0002	EXACT		ˈer	11	11	10	3	אֲשֶׁ֨ר	ashér	ˈer	11	10	15	אֲשֶׁ֤ר	ashér	ˈer	True
P0003	EXACT		ˈer	3	11	10	12	אֲשֶׁ֥ר	ashér	ˈer	11	10	15	אֲשֶׁ֤ר	ashér	ˈer	True
P0004	EXACT		khˈa	2	11	10	18	זַרְעֲךָ֔	zarakhá	khˈa	11	10	20	בְרַגְלְךָ֖	veraglekhá	khˈa	False
P0005	EXACT		ˈarets	20	11	10	2	הָאָ֗רֶץ	haárets	ˈarets	11	11	1	וְהָאָ֗רֶץ	vehaárets	ˈarets	False
P0006	EXACT		ˈer	20	11	10	3	אֲשֶׁ֨ר	ashér	ˈer	11	11	2	אֲשֶׁ֨ר	ashér	ˈer	True
P0007	EXACT		ˈer	12	11	10	12	אֲשֶׁ֥ר	ashér	ˈer	11	11	2	אֲשֶׁ֨ר	ashér	ˈer	True
P0008	EXACT		ˈer	9	11	10	15	אֲשֶׁ֤ר	ashér	ˈer	11	11	2	אֲשֶׁ֨ר	ashér	ˈer	True
P0009	EXACT		ˈem	12	11	10	13	יְצָאתֶ֖ם	yetsatém	ˈem	11	11	3	אַתֶּ֜ם	atém	ˈem	False
P0010	EXACT		ˈim	16	11	10	10	מִצְרַ֙יִם֙	mitsráyím	ˈim	11	11	4	עֹבְרִ֥ים	ovrím	ˈim	False
P0011	EXACT		ˈerets	20	11	10	9	כְאֶ֤רֶץ	kheérets	ˈerets	11	11	7	אֶ֥רֶץ	érets	ˈerets	False
P0012	EXACT		ˈim	20	11	10	10	מִצְרַ֙יִם֙	mitsráyím	ˈim	11	11	8	הָרִ֖ים	harím	ˈim	False
P0013	EXACT		ˈim	4	11	11	4	עֹבְרִ֥ים	ovrím	ˈim	11	11	8	הָרִ֖ים	harím	ˈim	False
